RAL 8025; Blassbraun; 102, 74, 61
RAL 8028; Terrabraun; 64, 46, 33 
RAL 9001; Crémeweiß; 255, 252, 240
RAL 9002; Grauweiß; 240, 237, 230
RAL 9003; Signalweiß; 255, 255, 255
RAL 9004; Signalschwarz; 28, 28, 33 
RAL 9005; Tiefschwarz; 3, 5, 10 
RAL 9010; Reinweiß; 250, 255, 255
RAL 9011; Graphitschwarz; 13, 18, 26 
RAL 9016; Verkehrsweiß; 252, 255, 255
RAL 9017; Verkehrsschwarz; 20, 23, 28 
RAL 9018; Papyrusweiß; 219, 227, 222 
